"Name","Email","Faculty.Member.1","Faculty.Member.2","Faculty.Member.3","Faculty.Member.4","Faculty.Member.5","Faculty.Member.6"
"Hamdan, David","dhamdan@whatever.com","Butler, Malik","Cochran, Patric","Cochran, Patric",NA,"el-Guler, Shaahida",NA
"Solorzano, Robert","rsolorzano@whatever.com","el-Edris, Tahiyya","el-Habibi, Farhaana","Wallace, Andrew",NA,"el-Ahsan, Sundus","Lundstrom, Sean"
"Smith, Erin","esmith@whatever.com","Pham, Sandra","Sudaria, Tanandorn","Pham, Sandra","Butler, Malik","Slatten, Cooper",NA
"Spoon, Tammassha","tspoon@whatever.com","Lor, Madeline","Crowghost, Zachary","Eilers, Michael",NA,NA,NA
"Edler, Patrick","pedler@whatever.com","Sudaria, Tanandorn","Navarro, Luis","Wallace, Andrew","Felix, Alexis","Mcfalls, Kizmaya",NA
"Dintaman, Ryan","rdintaman@whatever.com","Jackson, Janelle","Macneilly, Angelique","el-Baig, Hamdoona",NA,NA,"Pham, Sandra"
"Teuton, Laura","lteuton@whatever.com","Poloa, Brian","Arritola, Leydi","Cheatham, Reneka","Lalria, Tylor",NA,NA
"Khatter, Dakota","dkhatter@whatever.com","Wallace, Andrew","Arritola, Leydi","Buice, Joy",NA,NA,NA
"Pallister, Gabriel","gpallister@whatever.com","Jackson, Janelle","Chasteen, Kyli","Poloa, Brian",NA,NA,NA
"Barnes, Naomi","nbarnes@whatever.com","Ortiz, Robert","Slatten, Cooper","Felix, Alexis",NA,"el-Ahsan, Sundus",NA
"el-Rasheed, Afeef","ael-rasheed@whatever.com","Slatten, Cooper","Butler, Malik","Arritola, Leydi",NA,NA,NA
"Polashock, Shawn","spolashock@whatever.com","Halaseh, Jared","Morales, Marisol","Halaseh, Jared",NA,NA,NA
"Laymon, Alysiana","alaymon@whatever.com","Cheatham, Reneka","Cochran, Patric","el-Ghanem, Zumruda",NA,NA,NA
"Boxley, Jermaine","jboxley@whatever.com","Martinez-Alcon, William","Quach, Summer","Munsey, Connor",NA,NA,NA
"Ahmed, Jamar","jahmed@whatever.com","Pham, Sandra","Mcfalls, Kizmaya","Chasteen, Kyli",NA,NA,"Macneilly, Angelique"
"el-Jamal, Muaaid","mel-jamal@whatever.com","Lundstrom, Sean","Arritola, Leydi","Melphy, Brenden","Lapaz, Jesse","el-Ahsan, Sundus",NA
"Lobato, Lolita","llobato@whatever.com","Eilers, Michael","el-Ghanem, Zumruda","Herrera, Marina",NA,"Rouze, Christina","Hyatt, Dakota"
"Narangerel, Taylor","tnarangerel@whatever.com","Wallace, Andrew","al-Dada,  Sakeena","Poloa, Brian","el-Edris, Tahiyya",NA,"al-Dada,  Sakeena"
"Deniro, Marquis","mdeniro@whatever.com","Lastrella, Ninna","Melphy, Brenden","Sullivan, Kate",NA,NA,"Buice, Joy"
"Cooper, Nader","ncooper@whatever.com","Ali, Matthew","Jackson, Dominick","Strauss-Subia, Carlee","Eilers, Michael",NA,NA
"Harvey, Lorraine","lharvey@whatever.com","Eilers, Mike","el-Baig, Hamdoona","Mcfalls, Kizmaya",NA,"el-Samad, Tawheed",NA
"Ream, Brian","bream@whatever.com","el-Samad, Tawheed","Herrera, Marina","Mannon, Thomas","Housley, Demetrius",NA,NA
"el-Noorani, Huraira","hel-noorani@whatever.com","Eilers, Michael","Allen, Brianna","el-Ghanem, Zumruda","al-Maroun, Najma",NA,"Melphy, Brenden"
"Arato, Sarah","sarato@whatever.com","Lundstrom, Sean","Crowghost, Zachary","el-Baig, Hamdoona",NA,NA,"Strauss-Subia, Carlee"
