"Name","Email","type"
"Jgqmy, Xijny","XJgqmy@ucdavis.edu","Student"
"Kszal, Dqjlh","DKszal@ucdavis.edu","Student"
"Lpxls, Edysd","ELpxls@ucdavis.edu","Student"
"Tziqt, Avdhp","ATziqt@ucdavis.edu","Faculty"
"Ssxby, Unmct","USsxby@ucdavis.edu","Faculty"
"Oogco, Valml","VOogco@ucdavis.edu","Faculty"
"Srqwd, Doibf","DSrqwd@ucdavis.edu","Faculty"
"Hlwup, Mogub","MHlwup@ucdavis.edu","Faculty"
"Ysqxr, Fseak","FYsqxr@ucdavis.edu","Faculty"
"Jypdo, Qpixs","QJypdo@ucdavis.edu","Faculty"
"Iptzz, Yvqbi","YIptzz@ucdavis.edu","Student"
"Iqvdv, Haboc","HIqvdv@ucdavis.edu","Faculty"
"Yoqtz, Giixu","GYoqtz@ucdavis.edu","Faculty"
"Qthev, Nplhs","NQthev@ucdavis.edu","Student"
"Vfuok, Xaajw","XVfuok@ucdavis.edu","Student"
"Rgkcq, Wwguw","WRgkcq@ucdavis.edu","Faculty"
"Yvodq, Adcgx","AYvodq@ucdavis.edu","Student"
"Koiji, Rzwpf","RKoiji@ucdavis.edu","Faculty"
"Lsjha, Opcia","OLsjha@ucdavis.edu","Student"
"Cdyac, Xfosg","XCdyac@ucdavis.edu","Faculty"
"Cbqir, Zbrmt","ZCbqir@ucdavis.edu","Faculty"
"Ppjlk, Gcwyy","GPpjlk@ucdavis.edu","Faculty"
"Lkmaf, Edsmu","ELkmaf@ucdavis.edu","Faculty"
"Heset, Bpmjr","BHeset@ucdavis.edu","Faculty"
"Zjtkp, Chvrs","CZjtkp@ucdavis.edu","Faculty"
"Nbdqj, Pvawa","PNbdqj@ucdavis.edu","Faculty"
"Xnnix, Ucrdx","UXnnix@ucdavis.edu","Faculty"
"Sjhtj, Kfyww","KSjhtj@ucdavis.edu","Faculty"
"Lciza, Nnwmb","NLciza@ucdavis.edu","Student"
"Pimke, Lbnvu","LPimke@ucdavis.edu","Faculty"
"Uxgmt, Qfnek","QUxgmt@ucdavis.edu","Student"
"Hthxa, Fuxui","FHthxa@ucdavis.edu","Faculty"
"Wrxfb, Ypfin","YWrxfb@ucdavis.edu","Student"
"Fqwnz, Jquqq","JFqwnz@ucdavis.edu","Student"
"Tjdux, Yxsbz","YTjdux@ucdavis.edu","Student"
"Adome, Bsiwc","BAdome@ucdavis.edu","Faculty"
"Dphva, Dhyzi","DDphva@ucdavis.edu","Student"
"Qfgjx, Bxfpy","BQfgjx@ucdavis.edu","Student"
"Icomc, Vpyri","VIcomc@ucdavis.edu","Faculty"
"Sfehg, Scpkq","SSfehg@ucdavis.edu","Student"
"Fmovs, Mwquy","MFmovs@ucdavis.edu","Faculty"
"Mcpik, Yplpr","YMcpik@ucdavis.edu","Faculty"
"Idjns, Kihaq","KIdjns@ucdavis.edu","Faculty"
"Qupor, Lgwmg","LQupor@ucdavis.edu","Faculty"
"Dkqao, Xkuoc","XDkqao@ucdavis.edu","Faculty"
"Ybhxg, Kgqfv","KYbhxg@ucdavis.edu","Student"
"Ldsjd, Jqloc","JLdsjd@ucdavis.edu","Student"
"Guqhg, Kifpd","KGuqhg@ucdavis.edu","Faculty"
"Mgpdx, Alark","AMgpdx@ucdavis.edu","Faculty"
"Kxkvs, Ybern","YKxkvs@ucdavis.edu","Faculty"
"Svvbd, Xdwla","XSvvbd@ucdavis.edu","Faculty"
"Bvxbs, Mswih","MBvxbs@ucdavis.edu","Student"
"Fccsw, Wpyrz","WFccsw@ucdavis.edu","Student"
"Klmik, Zozhc","ZKlmik@ucdavis.edu","Faculty"
"Jivuv, Syvcs","SJivuv@ucdavis.edu","Faculty"
"Awygf, Qgdzx","QAwygf@ucdavis.edu","Faculty"
"Ccdiz, Avrts","ACcdiz@ucdavis.edu","Faculty"
"Vspng, Akpme","AVspng@ucdavis.edu","Student"
"Jfflr, Tpuvf","TJfflr@ucdavis.edu","Faculty"
